AAA,Anaa,GLF
SPI,Capital,SPI
SPK,Sapporo (All airport),SPK
SPN,Saipan Int'l,SPN
SPP,Menongue,SPP
SPR,San Pedro,SPR
SPS,Wichita Falls Municipal Airport,SPS
SPU,Split,SPU
SPW,Spencer Municipal,SPW
SPY,San Pedro,SPY
SQC,Southern Cross,SQC
SQF,Solano,SQF
SQI,Whiteside County,SQI
SQO,Gunnarn Airport,SQO
SRA,Santa Rosa Airport,SRA
SRE,Sucre,SRE
SRG,Achmad Uani,SRG
SRH,Sarh,SRH
SRI,Samarinda,SRI
SRJ,Capitan G Y Guardia,SRJ
SRN,Strahan,SRN
SRO,Santana Ramos,SRO
SRP,Stord,SRP
SRQ,Bradenton,SRQ
SRV,Stony River,SRV
SRX,Sert,SRX
SRZ,El Trompillo,SRZ
SSA,Dois De Julho,SSA
SSE,Sholapur,SSE
SSG,Santa Isabel,SSG
SSH,Ophira,SSH
SSJ,Stokka,SSJ
SSR,Sara,SSR
SSS,Siassi,SSS
SSY,M'Banza Congo,SSY
STA,Stauning,STA
STB,L Delicias,STB
STD,Mayo Guerrero,STD
STG,St George Island,STG
STI,Santiago Municipal,STI
STL,Lambert-St Louis Int'l,STL
STM,Eduardo Gomes,STM
STN,Stansted,LON
STO,Stockholm (All Airports),STO
STP,St Paul Downtown,STP
STR,Stuttgart-Echterdingen,STR
STS,Sonoma County,STS
STT,St Thomas Island,STT
STV,Surat,STV
STW,Stavropol,STW
STX,Henry E Rohlsen,STX
STY,Salto,STY
STZ,Confresa,STZ
SUA,Witham Field,SUA
SUB,Juanda,SUB
SUE,Door County,SUE
SUF,S Eufemia,SUF
SUG,Surigao Airport,SGS
SUH,Sur,SUH
SUI,Babusheri,SUI
SUJ,Satu Mare,SUJ
SUL,Sui,SUL
SUN,Sun Valley,SUN
SUT,Sumbawanga,SUT
SUV,Nausori,SUV
SUX,Siouc Gateway,SUX
SVA,Savoonga,SVA
SVB,Sambava,SVB
SVC,Grant County,SVC
SVD,St Vincent,SVD
SVG,Sola,SVG
SVI,San Vicente,SVI
SVJ,Helle,SVJ
SVL,Savonlinna,SVL
SVO,Sheremetyevo,MOW
SVP,Kuito,SVP
SVQ,Sevilla,SVQ
SVS,Stevens Village,SVS
SVU,Savusavu,SVU
SVX,Ekaterinburg,SVX
SVZ,San Antonio,SVZ
SWA,Shantou,SWA
SWD,Seward,SWD
SWF,Newburgh Stewart,POU
SWG,Satwag,SWG
SWJ,South West Bay,SWJ
SWO,Stillwater Regional Airport,SWO
SWP,Swakopmund,SWP
SWQ,Brang Bidji,SWQ
SWS,Swansea Airport,SWS
SWX,Shakawe,SWX
SWY,Sitiawan,SWY
SXB,Entzheim,SXB
SXD,Sophia Antipolis,SXD
SXF,Schoenefeld,BER
SXH,Sehulea,SXH
SXL,Collooney,SXL
SXM,St Maarten,SXM
SXO,Sao Felix Do Arag,SXO
SXR,Srinagar,SXR
SXS,Sahabat 16,SXS
SXT,Taman Negara,SXT
SXU,Soddu,SXU
SXV,Salem,SXV
SXZ,Siirt,SXZ
SYB,Seal Bay,SYB
SYD,Kingsford Smith,SYD
SYR,Hancock Int'l,SYR
SYU,Warraber Island,SYU
SYX,Sanya,SYX
SYY,Stornoway,SYY
SYZ,Shiraz,SYZ
SZA,Soyo,SZA
SZB,SULTAN ABDUL AZIZ SHAH,KUL
SZF,Samsun-Carsamba Airport,SZF
SZG,Salzburg,SZG
SZK,Skukuza,SZK
SZS,Stewart Island,SZS
SZX,Shenzhen,SZX
SZY,Olsztyn - Mazury Airport,SZY
SZZ,Goleviow,SZZ
TAB,Tobago,TAB
TAC,D.Z. Romualdez,TAC
TAE,Taegu,TAE
TAG,Tagbilaran Airport,TAG
TAH,Tanna,TAH
TAI,Tadji,TAI
TAK,Takamatsu,TAK
TAL,Ralph Calhoun,TAL
TAM,Gen F Javier Mina,TAM
TAO,Qingdao,TAO
TAP,Tapachula Int'l,TAP
TAQ,TARCOOLA,TAQ
TAS,Tashkent,TAS
TAT,Tatry Poprad,TAT
TAV,Tau,TAV
TAW,Tacuarembo,TAW
TAY,Tartu Ulenurme,TAY
TAZ,Tashauz,TAZ
TBB,Dong Tac Airport,TBB
TBE,Timbunke,TBE
TBF,Tabiteuea North,TBF
TBG,Tabubil,TBG
TBH,Tugdan Airport,TBH
TBJ,Tabarka Ain Draham Intl Airport,TBJ
TBN,Forney Aaf,TBN
TBO,Tabora,TBO
TBP,Tumbes,TBP
TBS,Novo Alexeyevka,TBS
TBT,Tabatinga Internacional,TBT
TBU,Tongatapu Int'l,TBU
TBY,Tsabong,TBY
TBZ,Tabriz,TBZ
TCA,Tennant Creek,TCA
TCB,Treasure Cay,TCB
TCH,Tchibanga,TCH
TCI,Tenerife (All Airports),TCI
TCL,Van De Graaf,TCL
TCN,Tehuacan,TCN
TCO,Tumaco,TCO
TCP,Taba international,TCP
TCQ,Tacna,TCQ
TCR,Tuticorin,TCR
TCT,Takotna,TCT
TCU,Thaba Nchu,TCU
TDA,Trinidad,TDA
TDB,Tetabedi,TDB
TDD,Trinidad,TDD
TDG,Tandag Apt,TDG
TDJ,Tadjoura,TDJ
TDK,Taldykorgan Airport,TDK
TDV,Tanandava,TDV
TDX,Trat,TDX
TEB,Teterboro,TEB
TED,Thisted,TED
TEE,Tbessa,TEE
TEF,Telfer,TEF
TEG,Tenkodogo,TEG
TEI,Tezu,TEI
TEN,Tongren Fenghuang Airport,TEN
TEO,Terapo,TEO
TEP,Teptep Airport,TEP
TEQ,Tekirdag Corlu Airport,TEQ
TER,Lajes,TER
TES,Tessenei,TES
TET,Matunda,TET
TEU,Manapouri,TEU
TEX,Telluride,TEX
TEY,Thingeyri,TEY
TEZ,Salonibari,TEZ
TFF,Tefe,TFF
TFI,Tufi,TFI
TFL,Teofilo Otoni,TFL
TFM,Telefomin,TFM
TFN,Tenerife Norte Los Rodeos,TCI
TFS,Tenerife Sur Reina Sofia,TCI
TGD,Golubovci,TGD
TGG,Sultan Mahmood,TGG
TGH,Tongoa,TGH
TGI,Tingo Maria,TGI
TGJ,Tiga,TGJ
TGM,Tirgu Mures,TGM
TGN,La Trobe Traralgon,TGN
TGO,Tongliao,TGO
TGR,Touggourt,TGR
TGT,Tanga,TGT
TGU,Toncontin,TGU
TGV,Targovishte,TGV
TGZ,Tuxtla Gutierrez,TGZ
THC,Tchien,THC
THD,Tinh Gia Thanh Hoa Airport,THD
THE,Teresina,THE
THF,Tempelhof,BER
THG,Thangool,THG
THI,Tichitt,THI
THK,Thakhek,THK
THL,Tachilek,THL
THN,Trollhattan,THN
THO,Thorshofn,THO
THR,Mehrabad,THR
THS,SUKHOTHAI,THS
THT,Tamchakett,THT
THY,Thohoyandou,THY
THZ,Tahoua,THZ
TIA,Rinas,TIA
TIC,Tinak Island,TIC
TID,Bouchekif,TID
TIE,Tippi,TIE
TIF,Ta'if Regional Airport,TIF
TIH,Tikehau Atoll,TIH
TII,Tirinkot,TII
TIJ,Rodriguez,TIJ
TIM,Timika,TIM
TIN,Tindouf,TIN
TIP,Tripoli Int'l,TIP
TIQ,Tinian,TIQ
TIR,Tirupati,TIR
TIS,Thursday Island,TIS
TIU,Timaru,TIU
TIV,Tivat,TIV
TIX,Space Center Exect.,TIX
TIY,Tidjikja,TIY
TIZ,Tari,TIZ
TJA,Tarija,TJA
TJK,Tokat,TJK
TJL,Tres Lagoas,TJL
TJM,Tyumen,TJM
TJQ,Bulutumbang,TJQ
TJS,Tanjung Selor,TJS
TJU,Kulob Airport,TJU
TKC,Tiko,TKC
TKD,Takoradi,TKD
TKF,Truckee,TKF
TKG,Branit,TKG
TKH,Takhli Airport,TKH
TKI,Tokeen,TKI
TKJ,Tok,TKJ
TKK,Truk,TKK
TKN,Tokunoshima,TKN
TKP,Takapoto,TKP
TKQ,Kigoma,TKQ
TKS,Tokushima,TKS
TKU,Turku,TKU
TKV,Tatakoto,TKV
TKX,Takaroa,TKX
TLA,Teller,TLA
TLC,Toluca,MEX
TLD,Tuli Lodge,TLD
TLE,Tulear,TLE
TLH,Tallahassee Municipal,TLH
TLI,Tolitoli,TLI
TLL,Ulemiste,TLL
TLM,Zenata,TLM
TLN,Hyeres,TLN
TLP,Tumolbil,TLP
TLS,Blagnac,TLS
TLT,Tuluksak,TLT
TLV,Ben Gurion Int'l,TLV
TMC,Tambolaka,TMC
TMD,Timbedra,TMD
TME,Tame,TME
TMG,Tomanggong,TMG
TMH,Tanahmerah,TMH
TMJ,Termez,TMJ
TML,Tamale,TML
TMM,Tamatave,TMM
TMN,Tamana Island,TMN
TMP,Tampere-Pirkkala,TMP
TMR,Aguemar,TMR
TMS,Sao Tome Is,TMS
TMT,Trombetas,TMT
TMW,Tamworth,TMW
TMY,Tiom,TMY
TNA,Jinan,TNA
TNE,Tanegashima,TNE
TNG,Boukhalef,TNG
TNI,Satna,TNI
TNJ,Kidjang,TNJ
TNK,Tununak,TNK
TNN,Tainan,TNN
TNR,Antananarivo,TNR
TOA,Torrance,TOA
TOB,Tobruk,TOB
TOD,Tioman,TOD
TOE,Tozeur,TOE
TOF,Tomsk,TOF
TOG,Togiak Village,TOG
TOH,Torres Airstrip,TOH
TOJ,Madrid - Torrejon Airport,TOJ
TOL,Toledo Express,TOL
TOM,Tombouctou,TOM
TOP,Philip Billard,TOP
TOR,Torrington Municipal,TOR
TOS,Tromso/Langnes,TOS
TOU,Touho,TOU
TOY,Toyama,TOY
TOZ,Touba,TOZ
TPA,Tampa Int'l,TPA
TPB,Bristol Temple Meads,TPB
TPC,Tarapoa,TPC
TPE,Taiwan Taoyuan International Airport,TPE
TPP,Tarapoto,TPP
TPQ,Tepic,TPQ
TPS,Birgi,TPS
TRB,Turbo,TRB
TRC,Torreon,TRC
TRD,Vaernes,TRD
TRE,Tiree,TRE
TRF,Sandefjord,OSL
TRG,Tauranga,TRG
TRI,Tri-Cities,TRI
TRK,Tarakan,TRK
TRN,Sandro Pertini,TRN
TRO,Taree,TRO
TRS,Dei Legionari,TRS
TRU,Trujillo,TRU
TRV,Trivandrum Int'l,TRV
TRW,Bonriki,TRW
TRZ,Tiruchirapally Civil,TRZ
TSA,Sung Shan,TPE
TSB,Tsumeb,TSB
TSD,Tshipise,TSD
TSE,Astana,TSE
TSF,Treviso,VCE
TSH,Tshikapa,TSH
TSJ,Tsushima,TSJ
TSM,Taos,TSM
TSN,Tianjin,TSN
TSO,Tresco,ISC
TSP,Tehachapi Municipal Airport,TSP
TSR,Timisoara,TSR
TST,Trang,TST
TSU,Tabiteuea South,TSU
TSV,Townsville,TSV
TTA,Tan Tan,TTA
TTB,Arbatax,TTB
TTE,Babullah,TTE
TTJ,Tottori,TTJ
TTN,Mercer County,TTN
TTR,Tana Toraja,TTR
TTS,Tsaratanana,TTS
TTT,Taitung,TTT
TTU,Sania Ramel,TTU
TUA,Tulcan,TUA
TUB,Tubuai,TUB
TUC,Benj Matienzo,TUC
TUD,Tambacounda,TUD
TUF,St Symphorien,TUF
TUG,Tuguegarao Airport,TUG
TUI,Turaif Domestic Airport,TUI
TUJ,Tum,TUJ
TUK,Turbat,TUK
TUL,Tulsa Int'l,TUL
TUM,Tumut,TUM
TUN,Carthage,TUN
TUO,Taupo,TUO
TUP,Lemons Municipal,TUP
TUR,Tucurui,TUR
TUS,Tucson Int'l,TUS
TUU,Tabuk Regional Airport,TUU
TUV,Tucupita,TUV
TUZ,Tucuma,TUZ
TVA,Morafenobe,TVA
TVC,Traverse City,TVC
TVF,Thief River Falls,TVF
TVL,Lake Tahoe South,TVL
TVU,Matei,TVU
TWA,Twin Hills,TWA
TWB,Toowoomba,TWB
TWF,Twin Falls City County,TWF
TWT,Sanga-Sanga Airport,TWT
TWU,Tawau,TWU
TXF,Teixeira de Freitas,TXF
TXG,Taichung,TXG
TXK,Texarkana Municipal,TXK
TXL,Tegel,BER
TXM,Teminabuan,TXM
TXN,Tunxi,TXN
TXU,Tabou,TXU
TYF,Torsby Airport,TYF
TYL,Talara,TYL
TYN,Taiyuan,TYN
TYO,Tokyo (All Airports),TYO
TYR,Pounds Field,TYR
TYS,Mc Ghee Tyson,TYS
TZL,Tuzla Intl Airport,TZL
TZN,South Andros,TZN
TZX,Trabzon,TZX
UAC,San Luis Rio Colorado,UAC
UAE,MOUNT AUE,UAE
UAH,Ua Huka,UAH
UAK,Narsarsuaq,UAK
UAL,Luau,UAL
UAP,Ua Pou,UAP
UAQ,San Juan,UAQ
UAS,Samburu,UAS
UBA,Uberaba,UBA
UBB,Mabuiag Island,UBB
UBJ,Ube,UBJ
UBP,Muang Ubon,UBP
UCA,Oneida County,UCA
UCC,YUCCA FLAT,UCC
UCN,Buchanan,UCN
UCT,Ukhta,UCT
UDD,Bermuda Dunes,PSP
UDI,Eduardo Gomes,UDI
UDJ,Uzhgorod,UDJ
UDR,Dabok,UDR
UEE,Queenstown,UEE
UEL,Quelimane,UEL
UEO,Kumejima,UEO
UET,Quetta,UET
UFA,Ufa,UFA
UGB,Ugashik Bay,PIP
UGC,Urgench,UGC
UGI,Uganik,UGI
UGN,Waukegan Memorial,UGN
UGO,Uige,UGO
UIB,Quibdo,UIB
UIH,Qui Nhon Phu Cat Airport,UIH
UII,Utila,UII
UIN,Quincy Municipal,UIN
UIO,Mariscal Sucr,UIO
UIP,Pluguffan,UIP
UIR,Quirindi,UIR
UIT,Jaluit Island,UIT
UJE,Ujae Island,UJE
UKB,,UKB
UKK,Ust Kamenogorsk,UKK
UKR,Mukeiras,UKR
UKU,Nuku,UKU
ULB,Ulei,ULB
ULH,Prince Abdul Majeed bin Abdulaziz Airport,ULH
ULN,Ulan Bator,ULN
ULP,Quilpie,ULP
ULQ,Heriberto Gil Martinez Airport,ULQ
ULV,Ulyanovsk Baratayevka Airport,ULV
ULY,Ulyanovsk,ULY
UMD,Uummannaq,UMD
UME,Umea,UME
UMR,Woomera,UMR
UNA,Una,UNA
UND,Kunduz,UND
UNE,Qachas Nek,UNE
UNG,Kiunga,UNG
UNI,Union Island,UNI
UNK,Unalakleet,UNK
UNN,Ranong,UNN
UOL,Buol,UOL
UPG,Hasanudin,UPG
UPN,Uruapan,UPN
UQE,Queen,UQE
URA,Uralsk - Podstepnyy,URA
URB,Ernesto Pochler,URB
URC,Urumqi,URC
URD,BURG FEUERSTEIN,URD
URE,Kuressaare,URE
URG,Ruben Berta,URG
URO,Boos,URO
URR,Urrao,URR
URT,Surat Thani,URT
URY,Gurayat Domestic Airport,URY
USH,Ushuaia,USH
USL,Useless Loop,USL
USM,Samui,USM
USN,Ulsan,USN
USQ,Usak,USQ
USS,Sancti Spiritus,USS
UST,St. Augustine Florida,UST
USU,Francisco B Reyes Airport,USU
UTH,Udon Thani,UTH
UTK,Utirik Island,UTK
UTM,Tunica Municipal Airport,UTM
UTN,Upington Municipal,UTN
UTP,U-Tapao International Airport,PYX
UTT,Umtata,UTT
UUD,Ulan Ude,UUD
UUS,Yuzhno Sakhalinsk,UUS
UVE,Ouvea,UVE
UVF,Hewanorra,SLU
UVL,Kharga,UVL
UYL,Nyala,UYL
VAA,Vaasa,VAA
VAF,Chabeuil,VAF
VAG,Maj. Brig. Tromposky,VAG
VAI,Vanimo,VAI
VAK,Chevak,VAK
VAL,Valenca,VAL
VAN,Van,VAN
VAR,Varna,VAR
VAS,Sivas,VAS
VAT,Vatomandry,VAT
VAV,Lupepau’u,VAV
VAW,Vardoe,VAW
VBS,Brescia - Montichiari Airport,VBS
VBY,Visby,VBY
VCA,Tra Noc Airport,VCA
VCD,Victoria River Do,VCD
VCE,Marco Polo,VCE
VCL,Chu Lai Intl Airport,VCL
VCP,Viracopos,SAO
VCT,County-Foster,VCT
VDA,Ovda,VDA
VDB,Valdres,VDB
VDC,Vitoria Da Cnquis,VDC
VDH,Hai Phong Kien An Airport,VDH
VDM,Viedma,VDM
VDP,Valle De Pascua,VDP
VDS,Vadso,VDS
VDY,Vidyanagar Airport,VDY
VDZ,Valdez Municipal,VDZ
VEE,Venetie,VEE
VEL,Vernal,VEL
VER,Heriberto Jara,VER
VEY,Vestmannaeyjar,VEY
VFA,Victoria Falls,VFA
VGA,Vijayawada,VGA
VGO,Vigo,VGO
VGZ,Villagarzon,VGZ
VHC,Saurimo,VHC
VHM,Vilhelmina,VHM
VHZ,Vahitahi,VHZ
VID,Vidin,VID
VIE,Vienna Int'l,VIE
VII,Vinh,VII
VIJ,Virgin Gorda,VIJ
VIL,Dakhla,VIL
VIR,Virginia,DUR
VIS,Visalia,VIS
VIT,Vitoria,VIT
VIV,Vivigani,VIV
VIX,Eurico Sales,VIX
VKO,Vnukovo,MOW
VKT,Vorkuta,VKT
VLC,Valencia,VLC
VLD,Valdosta Regional,VLD
VLG,Villa Gesell,VLG
VLI,Bauerfield,VLI
VLL,Valladolid,VLL
VLN,Valencia,VLN
VLS,Valesdir,VLS
VLV,Carvajal,VLV
VLY,Anglesey Airport,VLY
VMU,Baimuru,VMU
VNA,Saravane,VNA
VNC,Venice Municipal,VNC
VNG,Viengxay,VNG
VNO,Vilnius,VNO
VNS,Varanasi,VNS
VNX,Vilanculos,VNX
VOG,Volgograd,VOG
VOH,Vohemar,VOH
VOK,VOLK FIELD,VOK
VOL,Nea Anchialos,VOL
VOZ,Voronezh,VOZ
VPN,Vopnafjordur,VPN
VPS,Ft Walton Beach,VPS
VQS,Vieques,VQS
VRA,Juan Gualberto Gomez,VRA
VRB,Vero Beach Municipal,VRB
VRC,Virac Airport,VRC
VRK,Varkaus,VRK
VRL,Vila Real,VRL
VRN,Verona,VRN
VSA,Capitan Carlos Perez,VSA
VSG,Lugansk,VSG
VST,Hasslo,VST
VTE,Wattay,VTE
VTI,Vitoria Bus Station,VTI
VTU,Las Tunas,VTU
VTZ,Vishakhapatnam,VTZ
VUP,Valledupar,VUP
VVB,Mahanoro,VVB
VVC,Villavicencio,VVC
VVI,Viru Viru Int'l,SRZ
VVO,Vladivostok,VVO
VVZ,Illizi,VVZ
VXC,Lichinga,VXC
VXE,San Pedro,VXE
VXO,Vaxjo,VXO
VYD,Vryheid,VYD
WAC,Waca,WAC
WAE,Wadi al-Dawasir Domestic Airport,WAE
WAG,Wanganui,WAG
WAI,Antsohihy,WAI
WAQ,Antsalova,WAQ
WAS,Washington (All Airport),OCW
WAT,Waterford,WAT
WAW,Okecie,WAW
WBB,Stebbins,WBB
WBD,Befandriana,WBD
WBE,Bealanana,WBE
WBM,Wapenamanda,WBM
WBO,Beroroha,WBO
WBQ,Beaver,WBQ
WDG,Woodring Municipal,WDG
WDH,Windhoek int'l,WDH
WED,Wedau,WED
WEH,Weihai Dashuibo Airport,WEH
WEI,Weipa,WEI
WEL,Welkom,WEL
WET,Wagethe,WET
WFI,Fianarantsoa,WFI
WGA,Forrest Hill,WGA
WGP,Waingapu,WGP
WGT,Wangaratta,WGT
WHK,Whakatane,WHK
WHL,Welshpool,WHL
WIC,Wick,WIC
WIL,Wilson,NBO
WIN,Winton,WIN
WIS,Vienna Shutlebus,WIS
WJA,Woja,WJA
WJR,Wajir,WJR
WKA,Wanaka,WKA
WKJ,Hokkaido,WKJ
WKK,Aleknagik,WKK
WKR,Walker's Cay,WKR
WLB,Labouchere Bay,WLB
WLG,Wellington,WLG
WLH,Walaha,WLH
WLK,Selawik,WLK
WLM,Waltham,WLM
WLS,Wallis Island,WLS
WMA,Mandritsara,WMA
WMD,Mandabe,WMD
WMH,Mountain Home,WMH
WMI,Modlin,WMI
WML,Malaimbandy,WML
WMN,Maroantsetra,WMN
WMO,White Mountain,WMO
WMR,Mananara,WMR
WMX,Wamena,WMX
WNP,Naga Airport,WNP
WNR,Windorah,WNR
WNS,Nawabshah,WNS
WNZ,Wenzhou,WNZ
WOT,Wonan,WOT
WPB,Port Berge,WPB
WPM,Wipim,WPM
WRA,Warder,WRA
WRE,Whangarei,WRE
WRL,Worland,WRL
WRO,Strachowice,WRO
WRW,Warrawagine Station,WRW
WRY,Westray,WRY
WSN,South Naknek,WSN
WST,Sesterly State,WST
WSU,Wasu,WSU
WSX,Westsound,WSX
WSY,Whitsunday Airstrip,WSY
WSZ,Westport,WSZ
WTA,Tambohorano,WTA
WTD,Bahamas - West End Airport,WTD
WTE,Wotje Island,WTE
WTK,Noatak,WTK
WTL,Tuntutuliak,WTL
WTO,Wotho Island,WTO
WTS,Tsiroanomandidy,WTS
WUG,Wau,WUG
WUH,Wuhan,WUH
WUN,Wiluna,WUN
WUV,Wuvulu Is,WUV
WUX,,WUX
WVB,Walvis Bay,WVB
WVK,Manakara,WVK
WWA,Wasilla,WWA
WWD,Cape May County,WWD
WWK,Boram,WWK
WWP,Whale Pass,WWP
WWT,Newtok,WWT
WWY,West Wyalong,WWY
WYA,Whyalla,WYA
WYE,Yengema,WYE
WYS,Yellowstone,WYS
XAP,Chapeco,XAP
XBE,Bearskin Lake,XBE
XBL,Buno Bedelle,XBL
XBN,Biniguni,XBN
XBO,Boulsa Airport,XBO
XCH,Christmas Island,XCH
XCR,Chalons-Vatry,PAR
XDB,,XDB
XDR,Vernouillet,XDR
XDS,,XDS
XER,Strasbourg Bus Station,XER
XFL,Flagler County Airport,XFL
XFW,Finkenwerder,XFW
XGA,Gaoua,XGA
XGG,Gorom Gorom,XGG
XGN,Xangongo,XGN
XGR,Kangiqsualujjuaq,XGR
XHK,,XHK
XHQ,Batum - Hopa Airport,XHQ
XIK,Central Station Airport,MIL
XIL,Xilinhot,XIL
XIT,Leipzig Hauptbahnhof,XIT
XIX,Porta Nuova Rail Airport,XIX
XIY,Xianyang,SIA
XJN,Valladolid Bus Station,XJN
XKA,Kantchari,XKA
XKH,Xieng Khouang,XKH
XKS,Kasabonika,XKS
XLB,Lac Brochet,XLB
XLS,St Louis,XLS
XMC,Mallacoota,XMC
XMH,Manihi,XMH
XMN,Xiamen,XMN
XMS,Macas,XMS
XMY,Yam Island,XMY
XNA,Northwest Arkansas Regional Airport,XNA
XNB,Dubai Bus Stand,DXB
XNN,Xining Caojiabao Airport,XNN
XNU,Nouna,XNU
XOC,Madrid Atocha railway station,XOC
XPK,Pukatawagan,XPK
XQA,SANTA JUSTA RAILWAY ST,XQA
XQC,Balad Airbase,XQC
XQP,Quepos,XQP
XQU,Qualicum,XQU
XRF,,XRF
XRJ,Termini Rail Stn. Airport,ROM
XRR,Ross River,XRR
XRY,Jerez,XRY
XSC,South Caicos Int'l,XSC
XSI,South Indian Lake,XSI
XSP,Seletar,SIN
XTL,Tadoule Lake,XTL
XVQ,Santa Lucia Rail airport,XVQ
XVY,Venice Mestre Train Station,XVY
XWC,,XWC
XWG,Strasbourg Railway Station,XWG
XXC,Cascais Aerodrome,XXC
XXQ,,XXQ
XYA,Yandina,XYA
XYD,,XYD
XYG,,XYG
xyz,xyz int airport,TNM
XZN,Avignon TGV Train Station,XZN
XZV,Gare de Toulon,XZV
YAA,Anahim Lake,YAA
YAB,Arctic Bay,YAB
YAC,Cat Lake,YAC
YAG,Fort Frances Municipal,YAG
YAK,Yakutat,YAK
YAL,Alert Bay,YAL
YAM,Sault Ste Marie,YAM
YAO,Yaounde Arpt,YAO
YAP,Yap,YAP
YAT,Attawapiskat,YAT
YAW,Shearwater,YHZ
YAY,St Anthony,YAY
YBB,Townsite,YUF
YBC,Baie Comeau,YBC
YBE,Uranium City,YBE
YBG,Bagotville,YBG
YBI,Black Tickle,YBI
YBJ,Baie Johan Beetz,YBJ
YBL,Campbell River,YBL
YBM,Bronson Creek,YBM
YBR,Brandon,YBR
YBT,Brochet,YBT
YBV,Berens River,YBV
YBX,Blanc Sablon,YBX
YCB,Cambridge Bay,YCB
YCD,Nanaimo,YCD
YCG,Castlegar,YCG
YCH,Miramichi,YCH
YCK,Colville Lake,YCK
YCL,Charlo,YCL
YCN,Cochrane,YCN
YCO,Coppermine,YCO
YCQ,Chetwynd,YCQ
YCR,Cross Lake,YCR
YCS,Chesterfield Inle,YCS
YCU,Yuncheng Guangong Airport,YNZ
YCV,Cartierville,YCV
YCY,Clyde River,YCY
YDA,Dawson City,YDA
YDE,Paradise River,YDE
YDF,Deer Lake,YDF
YDI,Davis Inlet,YDI
YDL,Dease Lake,YDL
YDN,Dauphin,YDN
YDO,St Methode,YDO
YDP,Nain,YDP
YDQ,Dawson Creek,YDQ
YDT,Boundary Bay,YVR
YEA,Edmonton,YEA
YEC,Yechon,YEC
YEG,Edmonton Int'l,YEA
YEI,Bursa - Yenisehir,YEI
YEK,Eskimo Point,YEK
YEL,Elliot Lake,YEL
YER,Fort Severn,YER
YEV,Inuvik,YEV
YFA,Fort Albany,YFA
YFB,Iqaluit,YFB
YFC,Fredericton,YFC
YFH,Fort Hope,YFH
YFO,Flin Flon,YFO
YFR,Fort Resolution,YFR
YFS,Fort Simpson,YFS
YFX,Fox Harbour,YFX
YGB,Gillies Bay,YGB
YGH,Fort Good Hope,YGH
YGJ,Miho,YGJ
YGK,Kingston,YGK
YGL,La Grande,YGL
YGO,Gods Narrows,YGO
YGP,Gaspe,YGP
YGQ,Geraldton,YGQ
YGR,Iles De La Madele,YGR
YGT,Igloolik,YGT
YGV,Havre St Pierre,YGV
YGW,Kuujjuarapik,YGW
YGX,Gillam,YGX
YGZ,Grise Fiord,YGZ
YHA,Port Hope Simpson,YHA
YHD,Dryden Municipal,YHD
YHF,Hearst,YHF
YHI,Holman,YHI
YHK,Gjoa Haven,YHK
YHM,Hamilton,YHM
YHN,Hornepayne,YHN
YHO,Hopedale,YHO
YHP,Poplar Hill,YHP
YHR,Chevery,YHR
YHS,Sechelt,YHS
YHU,St Hubert,YMQ
YHZ,Halifax Int'l,YHZ
YIB,Atikokan,YIB
YIF,Pakuashipi,YIF
YIH,Yichang,YIH
YIK,Ivujivik,YIK
YIO,Pond Inlet,YIO
YIP,Willow Run,DTT
YIV,Island Lk Garden,YIV
YIW,YIWU,YIW
YJB,Barcelona Sants Train Station,YJB
YJN,St Jean,YJN
YJT,Stephenville,YJT
YKA,Kamloops,YKA
YKF,,YKF
YKG,Kangirsuk,YKG
YKL,Schefferville,YKL
YKM,Yakima Air Terminal,YKM
YKN,Chang Gurney,YKN
YKO,Hakkari - Yuksekova Airport,YKO
YKQ,Waskaganish,YKQ
YKS,Yakutsk,YKS
YKT,Klemtu,YKT
YKU,Chisasibi,YKU
YKX,Kirkland Lake,YKX
YKY,Kindersley,YKY
YKZ,Buttonville,YTO
YLC,Lake Harbour,YLC
YLD,Chapleau,YLD
YLE,Lac La Martre,YLE
YLL,Lloydminster,YLL
YLR,Leaf Rapids,YLR
YLW,Kelowna,YLW
YMA,Mayo,YMA
YME,Matane,YME
YMG,Manitouwadge,YMG
YMH,Mary's Harbour,YMH
YMM,Fort Mcmurray,YMM
YMN,Makkovik,YMN
YMO,Moosonee,YMO
YMQ,Montreal (All airport),YMQ
YMS,Yurimaguas,YMS
YMT,Chibougamau,YMT
YMX,Mirabel,YMQ
YNA,Natashquan,YNA
YNB,Yanbu Airport,YNB
YNC,Wemindji,YNC
YND,Gatineau,YND
YNE,Norway House,YNE
YNG,Youngstown Warren,YNG
YNL,Points North Land,YNL
YNM,Matagami,YNM
YNO,North Spirit Lake,YNO
YNS,Nemiscau,YNS
YNT,Laishan,YNT
YNZ,Yancheng Jiangsu Nanyang Intl Airport,YNZ
YOC,Old Crow,YOC
YOH,Oxford House,YOH
YOJ,Footner Lake,YOJ
YOL,Yola,YOL
YON,Yongphulla Airport,YON
YOO,Oshawa,YOO
YOP,Rainbow Lake,YOP
YOW,Ottawa Int'l,YOW
YPA,Prince Albert,YPA
YPB,Port Alberni,YPB
YPC,Paulatuk,YPC
YPE,Peace River,YPE
YPH,Inukjuak,YPH
YPI,Port Simpson,YPI
YPJ,Aupauluk,YPJ
YPL,Pickle Lake,YPL
YPM,Pikangikum,YPM
YPN,Port Menier,YPN
